Step,Time_s,Li_Metal,LiFSI,FSDEE,F_Ion,O_Ion
0,0,600,2886,9444,0,0
10,5.50988e-18,600,2886,9443,0,1
20,1.24328e-17,600,2885,9442,1,2
30,1.95201e-17,600,2885,9440,1,4
40,2.38931e-17,600,2885,9439,1,5
50,3.25343e-17,600,2885,9437,1,7
60,4.29256e-17,600,2885,9437,1,7
70,5.26955e-17,600,2885,9437,1,7
80,6.05481e-17,600,2885,9437,1,7
90,6.4453e-17,600,2885,9435,1,9
100,6.9621e-17,600,2885,9434,1,10
110,7.61077e-17,600,2884,9433,2,11
120,8.17588e-17,600,2884,9430,2,14
130,8.93909e-17,600,2884,9430,2,14
140,9.47076e-17,600,2883,9430,3,14
150,1.04521e-16,600,2883,9426,3,18
